stage,stage_name,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward
1,ODOR1,2,79.0,-1,-1,1,0,0,1,-1,-1,3.0,0.0
1,ODOR1,2,80.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,2,81.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,2,82.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,2,83.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
1,ODOR1,2,84.0,-1,-1,0,0,-1,-1,1,1,2.0,0.0
1,ODOR1,2,85.0,-1,-1,0,0,-1,-1,1,1,,
1,ODOR1,2,86.0,-1,-1,-1,-1,1,0,0,1,3.0,1.0
1,ODOR1,2,87.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
1,ODOR1,2,88.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,2,89.0,-1,-1,-1,-1,0,1,1,0,3.0,0.0
1,ODOR1,2,90.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,2,91.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
1,ODOR1,2,92.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
1,ODOR1,2,93.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
1,ODOR1,2,94.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,2,95.0,1,0,-1,-1,0,1,-1,-1,,
1,ODOR1,2,96.0,0,1,1,0,-1,-1,-1,-1,,
1,ODOR1,2,97.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
1,ODOR1,2,98.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,2,99.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,2,100.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
1,ODOR1,2,101.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
1,ODOR1,2,102.0,1,0,-1,-1,0,1,-1,-1,,
1,ODOR1,2,103.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,2,104.0,-1,-1,-1,-1,0,1,1,0,,
1,ODOR1,2,105.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,2,106.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
1,ODOR1,2,107.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,2,108.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
1,ODOR1,2,109.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
1,ODOR1,2,110.0,-1,-1,1,1,-1,-1,0,0,,
1,ODOR1,2,111.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,2,112.0,0,0,-1,-1,1,1,-1,-1,,
1,ODOR1,2,113.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,2,114.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,2,115.0,-1,-1,1,0,0,1,-1,-1,,
1,ODOR1,2,116.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,2,32.0,-1,-1,-1,-1,-1,-1,-1,-1,,
1,ODOR1,3,1.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
1,ODOR1,3,2.0,-1,-1,0,0,1,1,-1,-1,2.0,0.0
1,ODOR1,3,3.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,4.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
1,ODOR1,3,5.0,-1,-1,-1,-1,1,0,0,1,4.0,0.0
1,ODOR1,3,6.0,-1,-1,-1,-1,0,1,1,0,3.0,0.0
1,ODOR1,3,7.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,3,8.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
1,ODOR1,3,9.0,0,0,-1,-1,1,1,-1,-1,,
1,ODOR1,3,10.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,11.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,3,12.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,13.0,-1,-1,1,0,0,1,-1,-1,3.0,0.0
1,ODOR1,3,14.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
1,ODOR1,3,15.0,-1,-1,0,1,-1,-1,1,0,2.0,0.0
1,ODOR1,3,16.0,-1,-1,0,1,-1,-1,1,0,2.0,0.0
1,ODOR1,3,17.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
1,ODOR1,3,18.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,19.0,1,1,-1,-1,0,0,-1,-1,2.0,0.0
1,ODOR1,3,20.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
1,ODOR1,3,21.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
1,ODOR1,3,22.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,23.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
1,ODOR1,3,24.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
1,ODOR1,3,25.0,-1,-1,1,0,0,1,-1,-1,,
1,ODOR1,3,26.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
1,ODOR1,3,27.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
1,ODOR1,3,28.0,-1,-1,-1,-1,1,0,0,1,,
1,ODOR1,3,29.0,-1,-1,-1,-1,0,1,1,0,3.0,0.0
1,ODOR1,3,30.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
1,ODOR1,3,31.0,-1,-1,-1,-1,0,1,1,0,,
1,ODOR1,3,32.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,33.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
1,ODOR1,3,34.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,35.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
1,ODOR1,3,36.0,-1,-1,0,0,1,1,-1,-1,2.0,0.0
1,ODOR1,3,37.0,-1,-1,1,1,-1,-1,0,0,4.0,0.0
1,ODOR1,3,38.0,-1,-1,0,0,1,1,-1,-1,2.0,0.0
1,ODOR1,3,39.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,40.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
1,ODOR1,3,41.0,-1,-1,0,0,-1,-1,1,1,2.0,0.0
1,ODOR1,3,42.0,-1,-1,-1,-1,1,0,0,1,3.0,1.0
1,ODOR1,3,43.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
1,ODOR1,3,44.0,-1,-1,-1,-1,0,0,1,1,3.0,0.0
1,ODOR1,3,45.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
1,ODOR1,3,46.0,1,0,-1,-1,0,1,-1,-1,3.0,0.0
