stage_name,stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward
ODOR1,1,4,30.0,-1,-1,-1,-1,0,1,1,0,3.0,0.0
ODOR1,1,4,31.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
ODOR1,1,4,32.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
ODOR1,1,4,33.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
ODOR1,1,4,34.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
ODOR1,1,4,35.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR1,1,4,36.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
ODOR1,1,4,37.0,-1,-1,0,1,1,0,-1,-1,3.0,1.0
ODOR1,1,4,38.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
ODOR1,1,4,39.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
ODOR1,1,4,40.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
ODOR1,1,4,41.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
ODOR1,1,4,42.0,-1,-1,1,0,0,1,-1,-1,3.0,0.0
ODOR1,1,4,43.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
ODOR1,1,4,44.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR1,1,4,45.0,1,1,0,0,-1,-1,-1,-1,,
ODOR1,1,4,46.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
ODOR1,1,4,47.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
ODOR1,1,4,48.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
ODOR1,1,4,49.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
ODOR1,1,4,50.0,-1,-1,-1,-1,1,0,0,1,3.0,1.0
ODOR2,2,1,1.0,-1,-1,0,1,1,0,-1,-1,,
ODOR2,2,1,2.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
ODOR2,2,1,3.0,-1,-1,1,0,-1,-1,0,1,4.0,0.0
ODOR2,2,1,4.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
ODOR2,2,1,5.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
ODOR2,2,1,6.0,-1,-1,0,1,1,0,-1,-1,3.0,1.0
ODOR2,2,1,7.0,0,0,1,1,-1,-1,-1,-1,,
ODOR2,2,1,8.0,1,0,-1,-1,0,1,-1,-1,3.0,0.0
ODOR2,2,1,9.0,-1,-1,1,1,0,0,-1,-1,,
ODOR2,2,1,10.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
ODOR2,2,1,11.0,-1,-1,0,1,-1,-1,1,0,,
ODOR2,2,1,12.0,-1,-1,-1,-1,1,0,0,1,,
ODOR2,2,1,13.0,-1,-1,-1,-1,1,0,0,1,4.0,0.0
ODOR2,2,1,14.0,-1,-1,-1,-1,0,0,1,1,3.0,0.0
ODOR2,2,1,15.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
ODOR2,2,1,16.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
ODOR2,2,1,17.0,0,1,1,0,-1,-1,-1,-1,,
ODOR2,2,1,18.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
ODOR2,2,1,19.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,20.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
ODOR2,2,1,21.0,-1,-1,0,1,1,0,-1,-1,,
ODOR2,2,1,22.0,-1,-1,-1,-1,0,1,1,0,,
ODOR2,2,1,23.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,1,24.0,-1,-1,1,0,0,1,-1,-1,,
ODOR2,2,1,25.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,1,26.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,27.0,0,0,1,1,-1,-1,-1,-1,,
ODOR2,2,1,28.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,29.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
ODOR2,2,1,30.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
ODOR2,2,1,31.0,0,1,-1,-1,1,0,-1,-1,,
ODOR2,2,1,32.0,-1,-1,1,0,0,1,-1,-1,,
ODOR2,2,1,33.0,-1,-1,0,0,1,1,-1,-1,,
ODOR2,2,1,34.0,-1,-1,-1,-1,1,1,0,0,4.0,0.0
ODOR2,2,1,35.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
ODOR2,2,1,36.0,-1,-1,1,0,-1,-1,0,1,,
ODOR2,2,1,37.0,-1,-1,1,0,-1,-1,0,1,4.0,0.0
ODOR2,2,1,38.0,-1,-1,-1,-1,1,0,0,1,,
ODOR2,2,1,39.0,-1,-1,-1,-1,0,1,1,0,4.0,1.0
ODOR2,2,1,40.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,1,41.0,-1,-1,1,0,-1,-1,0,1,,
ODOR2,2,1,42.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,1,43.0,0,0,1,1,-1,-1,-1,-1,1.0,0.0
ODOR2,2,1,44.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,45.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,1,46.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
ODOR2,2,1,47.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
ODOR2,2,1,48.0,-1,-1,0,0,-1,-1,1,1,,
ODOR2,2,1,49.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
ODOR2,2,1,50.0,-1,-1,-1,-1,1,0,0,1,,
ODOR2,2,1,51.0,-1,-1,-1,-1,0,1,1,0,4.0,1.0
ODOR2,2,1,52.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
ODOR2,2,1,53.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
ODOR2,2,1,54.0,1,0,-1,-1,0,1,-1,-1,3.0,0.0
ODOR2,2,1,55.0,-1,-1,0,0,1,1,-1,-1,2.0,0.0
ODOR2,2,1,56.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,57.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
ODOR2,2,1,58.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
ODOR2,2,1,59.0,-1,-1,1,1,-1,-1,0,0,4.0,0.0
ODOR2,2,1,60.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
ODOR2,2,1,61.0,-1,-1,1,0,0,1,-1,-1,3.0,0.0
ODOR2,2,1,62.0,-1,-1,-1,-1,1,0,0,1,4.0,0.0
ODOR2,2,1,63.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
ODOR2,2,1,64.0,-1,-1,0,1,1,0,-1,-1,3.0,1.0
ODOR2,2,1,65.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
ODOR2,2,1,66.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
ODOR2,2,1,67.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
ODOR2,2,1,68.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
ODOR2,2,1,69.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,1,70.0,-1,-1,-1,-1,0,0,1,1,,
ODOR2,2,1,71.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,72.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
ODOR2,2,1,73.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,1,74.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,75.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
ODOR2,2,1,76.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
ODOR2,2,1,77.0,-1,-1,0,0,1,1,-1,-1,,
ODOR2,2,1,78.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
ODOR2,2,1,79.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
ODOR2,2,1,80.0,1,1,-1,-1,0,0,-1,-1,,
ODOR2,2,1,81.0,-1,-1,1,0,-1,-1,0,1,4.0,0.0
ODOR2,2,1,82.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
